Lat,Long,Type,Count,State
42.645584967947,23.3730754969404,1100,2,ДОБРО
42.6569179578877,23.3813334026629,1100,2,ДОБРО
42.6613755536272,23.3834266932068,1100,6,ДОБРО
42.6246470220757,23.4021608523303,110,1,ДОБРО
42.6649932910399,23.3803168710577,3000,3,ДОБРО
42.6303866326808,23.3819510074803,3000,3,ДОБРО
42.6637341929992,23.3831265240694,3000,4,ДОБРО
42.6739132899336,23.3784626937247,1100,4,ДОБРО
42.654533974784,23.368881593201,1100,1,ДОБРО
42.626941492058,23.4100925607727,120,1,ДОБРО
42.6230217306017,23.4088545050622,1100,1,ДОБРО
42.6694141671118,23.3791550231827,1100,1,ДОБРО
42.6244972871693,23.402053076588,110,2,ДОБРО
42.6645830314208,23.3808729618304,3000,3,ДОБРО
42.657845891472,23.37251094482,1100,1,ДОБРО
42.6288081495485,23.3615696718685,110,1,ДОБРО
42.6330428777339,23.4129901038847,110,1,ДОБРО
42.6626793734381,23.3804083911126,3000,2,ДОБРО
42.6567502633322,23.3764981955321,1100,2,ДОБРО
42.6660622712547,23.3761914932605,1100,2,ДОБРО
42.6734718919632,23.3810544677791,1100,1,ДОБРО
42.6250477042071,23.4038899189224,120,1,ДОБРО
42.6632547362517,23.37101881013,1100,2,ДОБРО
42.6548372504989,23.3755007205257,3000,2,ДОБРО
42.6734767429229,23.3810784523507,1100,1,ДОБРО
42.6613899331705,23.3834126441576,1100,6,ДОБРО
42.6267181949798,23.4060541568569,120,1,ДОБРО
42.6281640004168,23.3718130351485,3000,2,ДОБРО
42.630698264497,23.4044412517472,110,1,ДОБРО
42.6657232685124,23.3813126478412,3000,1,ДОБРО
42.6511263292705,23.3686511914644,1100,2,ДОБРО
42.628600243178,23.3662091730994,120,1,ДОБРО
42.6277672049036,23.4099326979357,120,1,ДОБРО
42.6549278889451,23.3715529961724,1100,2,ДОБРО
42.6645750277094,23.3882845154853,1100,1,ДОБРО
42.6252018311815,23.3811339020745,3000,1,ДОБРО
42.6247240928155,23.4062147501992,110,1,ДОБРО
42.6286527639587,23.3648455461264,120,1,ДОБРО
42.6657855953196,23.3803097745486,3000,2,ДОБРО
42.6242179893766,23.4023074213991,110,2,ДОБРО
42.662630066783,23.3804055850164,3000,2,ДОБРО
42.6562063408264,23.3775944655563,3000,1,ДОБРО
42.6236032594095,23.4034355332393,120,1,ДОБРО
42.6736894764183,23.3764917953928,1100,3,ДОБРО
42.6524306016434,23.3677556705029,1100,1,ДОБРО
42.6283994269081,23.4067892965222,110,2,ДОБРО
42.6289276313524,23.3617460163221,120,1,ДОБРО
42.6337381258265,23.4126674227513,110,1,ДОБРО
42.6648937290475,23.3822954643649,3000,1,ДОБРО
42.6240452276363,23.4077083898387,1100,2,ДОБРО
42.6250863074721,23.4106794166765,120,2,ДОБРО
42.6536721084261,23.3795410741446,3000,1,ДОБРО
42.6273399860667,23.3616369944215,120,2,ДОБРО
42.6395881398576,23.4072790274394,120,2,ДОБРО
42.6495021492939,23.3690142290089,3000,1,ДОБРО
42.6318356876292,23.4058748563901,110,3,ДОБРО
42.6238169855963,23.4015936705856,120,2,ДОБРО
42.6663283468749,23.3865383820968,1100,1,ДОБРО
42.6560911620172,23.3799783431003,3000,2,ДОБРО
42.6272399374598,23.3651444796639,120,1,ДОБРО
42.6382683647532,23.4073976735313,3000,1,ДОБРО
42.6611095662737,23.3873707985475,1100,1,ДОБРО
42.6319287851987,23.3784957127073,3000,2,ДОБРО
42.6342720558509,23.3802140105149,3000,1,ДОБРО
42.6456983975334,23.3775958034583,3000,2,ДОБРО
42.6649668305088,23.3791940497159,3000,2,ДОБРО
42.6664523059375,23.3800749624539,3000,1,ДОБРО
42.6678359400826,23.3785771224245,3000,1,ДОБРО
42.6261370265041,23.4020231302473,110,1,ДОБРО
42.6336095363103,23.4126575691281,110 – СГУРИЯ,1,ДОБРО
42.6590460407343,23.3763294643034,1100,5,ДОБРО
42.6293959419699,23.412323119872,120,2,ДОБРО
42.6621830032492,23.3814305281023,3000,3,ДОБРО
42.6415639319339,23.4025635647584,1100,1,ДОБРО
42.6521447729199,23.383163794538,3000,1,ДОБРО
42.64881184816,23.3816984524816,3000,2,ДОБРО
42.6268975449071,23.4101893670659,110,1,ДОБРО
42.6609581715389,23.384931982883,1100,2,ДОБРО
42.6245594186525,23.4051272527667,110,2,ДОБРО
42.667170460065,23.3778112227065,3000,1,ДОБРО
42.6249968680009,23.4020393216249,110,2,ДОБРО
42.6233558922652,23.407846278279,1100,1,ДОБРО
42.6686087001057,23.3780887275997,1100,3,ДОБРО
42.6411577870545,23.3837542049081,3000,2,ДОБРО
42.6277480550168,23.3654364724677,1100,1,ДОБРО
42.6615956706243,23.3813756903331,1100,3,ДОБРО
42.6549802338113,23.3804855233325,2250,1,ДОБРО
42.625363616242,23.4051696034662,110,2,ДОБРО
42.6709092087648,23.3808107229139,1100,4,ДОБРО
42.6373586019401,23.3848216458973,3000,1,ДОБРО
42.6299867913308,23.4112538851166,120,1,ДОБРО
42.6255253597209,23.4049791728182,110,1,ДОБРО
42.6733858414223,23.381025544053,1100,1,ДОБРО
42.6695787129444,23.3805652787761,1100,1,ДОБРО
42.6377413079584,23.4095386598949,110,1,ДОБРО
42.6348718175729,23.4119235812502,110,2,ДОБРО
42.668825835419,23.3842506854973,1100,1,ДОБРО
42.6336225901601,23.4125855305878,110,1,ДОБРО
42.6491546076452,23.3704414670377,3000,2,ДОБРО
42.6491404393384,23.3844853689794,3000,3,ДОБРО
42.661420826378,23.3818012781649,1100,10,ДОБРО
42.6231703802214,23.4018678416792,120,1,ДОБРО
42.6239513398603,23.4074508529644,110,1,ДОБРО
42.6247459667542,23.4109665268554,120,1,ДОБРО
42.6685297895278,23.3845294483633,1100,1,ДОБРО
42.6275170547799,23.4073911912654,120,2,ДОБРО
42.6278405938236,23.366143913345,120,1,ДОБРО
42.6648648438992,23.3878969025239,1100,1,ДОБРО
42.6257456591211,23.3611946978873,120,1,ДОБРО
42.6530845612766,23.3677028104001,1100,2,ДОБРО
42.6261743386468,23.4092636489524,120,3,ДОБРО
42.6501077576556,23.3821370097058,3000,2,ДОБРО
42.6644818704869,23.3786539569655,3000,1,ДОБРО
42.6254341601476,23.4119375321481,110,1,ДОБРО
42.6322661924382,23.3751051620258,2250,2,ДОБРО
42.6256862183868,23.3627488168794,120,2,ДОБРО
42.6632248687675,23.3884781642688,1100,4,ДОБРО
42.6572638099071,23.3750604392164,3000,4,ДОБРО
42.6625608241819,23.3886089664106,1100,1,ДОБРО
42.626902184562,23.4102732011113,120,1,ДОБРО
42.6401648404761,23.3868809302569,3000,1,ДОБРО
42.6612946297104,23.3839081278965,1100,5,ДОБРО
42.629415591335,23.3807626327368,3000,2,ДОБРО
42.6618924302388,23.3862965395595,1100,2,ДОБРО
42.6248195366535,23.4016851917111,120,1,ДОБРО
42.6602307217408,23.3745471648256,1100,2,ДОБРО
42.624871168531,23.3611279470288,120,1,ДОБРО
42.6275207671473,23.4057072852605,120,1,ДОБРО
42.6341569137895,23.4127723154583,110,1,ДОБРО
42.6310509437487,23.4056126634616,110,1,ДОБРО
42.6494472773969,23.3859869635537,3000,2,ДОБРО
42.6267338504423,23.3608447188818,120,1,ДОБРО
42.6660711073778,23.376246235579,1100,2,ДОБРО
42.6322959854867,23.412432755764,110,2,ДОБРО
42.6646434269274,23.3709783296235,1100,2,ДОБРО
42.6309264597913,23.4050809301851,110,1,ДОБРО
42.6649359656345,23.3743359459577,1100,4,ДОБРО
42.6404208195658,23.3784864564953,3000,2,ДОБРО
42.6362687507967,23.3837953439683,3000,2,ДОБРО
42.6244330826538,23.404891417397,110,1,ДОБРО
42.6677551924055,23.3701461352872,1100,2,ДОБРО
42.626520201354,23.4098160708963,120,1,ДОБРО
42.6280795302008,23.3650104133222,120,1,ДОБРО
42.6380370481859,23.3690528055669,3000,2,ДОБРО
42.6631790586824,23.3764291570721,1100,2,ДОБРО
42.6699815115558,23.3699111070058,1100,3,ДОБРО
42.6600319518986,23.3853819927514,1100,4,ДОБРО
42.6352123754921,23.3763099489093,3000,3,ДОБРО
42.6643683579871,23.3832754031121,3000,1,ДОБРО
42.6381767862122,23.4130499949185,1100,3,ДОБРО
42.6245793553912,23.402155419668,110,1,ДОБРО
42.6638781166782,23.3817947368611,3000,1,ДОБРО
42.6249774517849,23.4089558381234,120,2,ДОБРО
42.6646234373296,23.3787315649105,1100,3,ДОБРО
42.655694703819,23.3699599601602,1100,6,ДОБРО
42.6341469326188,23.408855005879,110,2,ДОБРО
42.6274335641858,23.411249588406,110,1,ДОБРО
42.6395637829767,23.385333469805,3000,4,ДОБРО
42.6554535734093,23.3706789306381,1100,2,ДОБРО
42.6621891743527,23.3813586424619,1100,4,ДОБРО
42.6679901835462,23.36983553345,1100,3,ДОБРО
42.6508946573875,23.3768980324044,3000,2,ДОБРО
42.6667218889473,23.371741138081,1100,2,ДОБРО
42.6268476075483,23.3660775756474,120,1,ДОБРО
42.6488606957429,23.3709095731684,3000,1,ДОБРО
42.6668883219169,23.3699775115993,1100,1,ДОБРО
42.6652248887172,23.3709277232422,1100,2,ДОБРО
42.6521146409475,23.3757623564612,3000,2,ДОБРО
42.6322055863096,23.4090074537515,120,2,ДОБРО
42.6643745445425,23.3724191522433,1100,6,ДОБРО
42.6285582861028,23.4126860248622,120,1,ДОБРО
42.6628707094772,23.3734856506716,1100,1,ДОБРО
42.6243637383144,23.4028096556201,110,1,ДОБРО
42.6354080431653,23.3748771641243,3000,2,ДОБРО
42.6613558122778,23.3731440664236,1100,4,ДОБРО
42.6344219310866,23.4132227489082,120,1,ДОБРО
42.66250103195,23.3718854300581,1100,3,ДОБРО
42.6587610815548,23.3733379724567,1100,4,ДОБРО
42.6451338432068,23.3738340164832,3000,1,ДОБРО
42.6328859359314,23.3750842137404,2250,3,ДОБРО
42.6386946322254,23.4100211253047,120,1,ДОБРО
42.6631282821087,23.3738167040007,1100,1,ДОБРО
42.6237180589358,23.4010921830134,110,1,ДОБРО
42.6634562597501,23.3737521057608,1100,3,ДОБРО
42.6287074586064,23.4125385891254,110,2,ДОБРО
42.6324987993708,23.4106234234708,110,2,ДОБРО
42.6632172033268,23.3746728522029,1100,2,ДОБРО
42.6391202704321,23.4092261246972,110,1,ДОБРО
42.6625396160454,23.3750195037315,1100,2,ДОБРО
42.6241002185589,23.4000658616633,110,1,ДОБРО
42.6390255027438,23.3696095377991,3000,1,ДОБРО
42.6390409387953,23.4094798707617,120,1,ДОБРО
42.6331093712512,23.4106875252119,110,1,ДОБРО
42.6620906193656,23.3742908337975,1100,2,ДОБРО
42.6381198107219,23.4086264946228,110,1,ДОБРО
42.6612209778233,23.374513836451,1100,2,ДОБРО
42.6332176631413,23.410108547819,120,1,ДОБРО
42.661461241002,23.3748054771381,1100,2,ДОБРО
42.634961685143,23.4112285201699,120,1,ДОБРО
42.6331574478434,23.4103704107644,120,2,ДОБРО
42.6623471455843,23.375944695894,1100,4,ДОБРО
42.6614646274414,23.3756722517261,1100,4,ДОБРО
42.6337601851171,23.4072273616539,1100,1,ДОБРО
42.6354064739238,23.3680215178424,1100,4,ДОБРО
42.6272718084491,23.3631012928127,120,1,ДОБРО
42.631823635351,23.4100883484526,1100,1,ДОБРО
42.6389245274629,23.4095931134695,110,2,ДОБРО
42.6601131897999,23.3762418344044,1100,2,ДОБРО
42.6291869648072,23.3637803115802,120,1,ДОБРО
42.6361593881339,23.4116244695221,110,2,ДОБРО
42.6597323429817,23.3754209490209,1100,2,ДОБРО
42.6603983487761,23.3768587302424,1100,3,ДОБРО
42.6593757656505,23.3776695200974,1100,3,ДОБРО
42.6318129615896,23.4046811210914,110,3,ДОБРО
42.6262197351768,23.4133421055832,110,1,ДОБРО
42.6584596604145,23.3781583514466,1100,2,ДОБРО
42.6580866734257,23.3776906308805,1100,2,ДОБРО
42.6595080027221,23.379629992567,1100,2,ДОБРО
42.6590904865042,23.3802173450642,1100,4,ДОБРО
42.6255839215582,23.3624953053839,120,2,ДОБРО
42.6239177602619,23.4065612654569,110,3,ДОБРО
42.6585588130104,23.3792322044087,1100,3,ДОБРО
42.6266873799099,23.3660269195014,120,1,ДОБРО
42.6336534891556,23.376292198021,3000,3,ДОБРО
42.6245548028193,23.4030079052793,110,2,ДОБРО
42.6385855566501,23.41028505519,120,3,ДОБРО
42.633266317603,23.4098790996346,120,1,ДОБРО
42.6449813601612,23.3850714739527,3000,2,ДОБРО
42.6327043829571,23.3762789499029,3000,1,ДОБРО
42.6298312980926,23.4050893299493,120,1,ДОБРО
42.6339746372322,23.412767057432,110,1,ДОБРО
42.6284307654061,23.3765976928304,3000,2,ДОБРО
42.6348054971364,23.4040842377229,3000,1,ДОБРО
42.6306145631788,23.4123895177689,1100,1,ДОБРО
42.6273373139033,23.3764408709144,3000,1,ДОБРО
42.6257552240813,23.384369609149,3000,4,ДОБРО
42.6297271546032,23.4118967356097,120,1,ДОБРО
42.6302785580974,23.376225312426,3000,1,ДОБРО
42.6293197576065,23.4113840777198,110,2,ДОБРО
42.629476058096,23.3765205063549,3000,2,ДОБРО
42.6545241749116,23.3694663363891,1100,2,ДОБРО
42.6271255301532,23.379491712722,3000,3,ДОБРО
42.6274130169182,23.4114758657927,120,1,ДОБРО
42.6564446635258,23.3784814320476,3000,2,ДОБРО
42.626287513212,23.3785205446716,3000,2,ДОБРО
42.6457944123047,23.3730759664721,3000,1,ДОБРО
42.6277989714251,23.3780506474118,3000,1,ДОБРО
42.6325116219191,23.408570980043,110,2,ДОБРО
42.628492593713,23.379363946901,3000,2,ДОБРО
42.6285943685969,23.3806408969142,3000,1,ДОБРО
42.6248574800905,23.409559484699,120,1,ДОБРО
42.6383189795126,23.3663806610634,3000,4,ДОБРО
42.6276584800529,23.404467707746,1100,1,ДОБРО
42.628538466183,23.3811957520473,3000,2,ДОБРО
42.6531196023582,23.3780040069324,3000,2,ДОБРО
42.6322178019787,23.4074071287778,110,2,ДОБРО
42.6279435070383,23.3813649259936,3000,2,ДОБРО
42.6381455321269,23.4111057647953,110,1,ДОБРО
42.6245145371404,23.4033609807824,120,1,ДОБРО
42.6320343765912,23.4123975051043,120,1,ДОБРО
42.6318869408878,23.4061851896612,110 – СГУРИЯ,2,ДОБРО
42.6341100542015,23.4101876073031,110,2,ДОБРО
42.6419588465511,23.3696589248117,3000,2,ДОБРО
42.6305934564135,23.380004005046,3000,1,ДОБРО
42.6441510853505,23.3695537184206,1100,4,ДОБРО
42.630558818846,23.379124277195,3000,1,ДОБРО
42.6255744227835,23.4120866359797,120,1,ДОБРО
42.6436601922285,23.3766056129165,3000,1,ДОБРО
42.6322568529903,23.3751083515188,3000,1,ДОБРО
42.6305588758303,23.3785337512142,3000,1,ДОБРО
42.6364948398286,23.4121929649373,120,1,ДОБРО
42.6339585467221,23.412707406295,120,1,ДОБРО
42.6382737956732,23.3763446554818,3000,3,ДОБРО
42.6304892841959,23.3776498358766,3000,1,ДОБРО
42.6485133952579,23.3802009504733,3000,2,ДОБРО
42.6239020732251,23.4016896126139,110,2,ДОБРО
42.6278001246169,23.4104700820936,110,1,ДОБРО
42.6292999638935,23.3784890786452,3000,1,ДОБРО
42.6262077466108,23.4134152673542,110,1,ДОБРО
42.6293681023748,23.3790944952642,3000,1,ДОБРО
42.6289419105198,23.382779120973,3000,3,ДОБРО
42.6464692839264,23.3809250316788,3000,2,ДОБРО
42.6281461040187,23.3833423792852,3000,2,ДОБРО
42.6272820186028,23.4122814356888,110,1,ДОБРО
42.6234993121754,23.4073558334545,110,2,ДОБРО
42.6275678284223,23.3836811248445,3000,2,ДОБРО
42.6547938285264,23.3731033674204,1100,3,ДОБРО
42.627004275757,23.3839847505123,3000,2,ДОБРО
42.6234495890601,23.4074103315755,110,2,ДОБРО
42.6269669719721,23.3841970362114,3000,3,ДОБРО
42.6388592004246,23.4065901555892,1100,2,ДОБРО
42.6473405883114,23.3837065264841,3000,3,ДОБРО
42.6328584160064,23.4111025727928,1100,3,ДОБРО
42.6484164437837,23.3848850830528,3000,1,ДОБРО
42.6324565135805,23.4123864833322,110,2,ДОБРО
42.6488092586157,23.383893543214,3000,2,ДОБРО
42.6304144686963,23.3639564752237,1100,1,ДОБРО
42.6554305115568,23.390682665896,1100,5,ДОБРО
42.6551570997137,23.3806659382943,3000,1,ДОБРО
42.6483863656986,23.3844310061443,3000,2,ДОБРО
42.6434780255246,23.3835931253359,3000,2,ДОБРО
42.6254046634327,23.4025143668221,120,2,ДОБРО
42.6501470515157,23.3801033043573,3000,1,ДОБРО
42.6505206721418,23.3807056389966,3000,1,ДОБРО
42.6507211898092,23.3809893607635,3000,2,ДОБРО
42.6369471360503,23.4124527543009,110,1,ДОБРО
42.6329623108426,23.41215984309,110,3,ДОБРО
42.6507374385427,23.3811405100137,3000,2,ДОБРО
42.65508349703,23.3784457939284,3000,2,ДОБРО
42.6508138372185,23.3827730815027,3000,2,ДОБРО
42.6264483883483,23.3717686977481,3000,1,ДОБРО
42.6508494993337,23.3770079889865,3000,2,ДОБРО
42.6324505281896,23.4106175578069,110,2,ДОБРО
42.6513771323211,23.3810225685336,3000,3,ДОБРО
42.6314570878972,23.4043400257976,110,1,ДОБРО
42.6274464230557,23.3670510961151,120,1,ДОБРО
42.628722894889,23.3751717407588,3000,1,ДОБРО
42.6297336304228,23.4120445734498,110,1,ДОБРО
42.6278687399163,23.4060589161376,110,1,ДОБРО
42.6258191606793,23.4015155899723,110,1,ДОБРО
42.6520544206744,23.3812541760042,3000,1,ДОБРО
42.6390657517825,23.3660334275427,3000,2,ДОБРО
42.6371044328285,23.4124390318402,120,1,ДОБРО
42.6273104590579,23.3616136921232,120,1,ДОБРО
42.6525851241118,23.3820530258104,3000,1,ДОБРО
42.6339767716467,23.4099298426032,1100,1,ДОБРО
42.6341784229818,23.4074581644433,120,1,ДОБРО
42.6515765164214,23.3836385477903,3000,2,ДОБРО
42.6242998733969,23.3602112828495,120,1,ДОБРО
42.6301065733817,23.374510447205,1100,1,ДОБРО
42.6237347888555,23.4067195301743,110,3,ДОБРО
42.6519459000804,23.3779205013152,3000,1,ДОБРО
42.6265591755104,23.3641673527447,120,1,ДОБРО
42.6320895140435,23.4049314741448,120,1,ДОБРО
42.6513545727057,23.3769941128361,3000,2,ДОБРО
42.6264520230833,23.363891478293,120,1,ДОБРО
42.6479928657395,23.3811738747158,3000,2,ДОБРО
42.6238216560687,23.4016557001581,120,2,ДОБРО
42.6338505039668,23.4122666876564,110,2,ДОБРО
42.6390940242125,23.3700210849306,3000,2,ДОБРО
42.6248704830846,23.4016585196507,110,1,ДОБРО
42.6237153117128,23.4003902850114,110,1,ДОБРО
42.6512372996392,23.3945555656583,1100,2,ДОБРО
42.6493474247314,23.3797985731296,3000,1,ДОБРО
42.651452851008,23.3729749939763,1100,2,ДОБРО
42.6285716539344,23.3672474146883,110,1,ДОБРО
42.6431556469949,23.3684091062601,1100,3,ДОБРО
42.6287838507485,23.4067089735435,110,2,ДОБРО
42.6481661492008,23.375697445399,1100,1,ДОБРО
42.6453208998799,23.3764325666014,3000,4,ДОБРО
42.6562632121374,23.3791603309009,3000,1,ДОБРО
42.644562104712,23.3767306633787,3000,1,ДОБРО
42.6331947145403,23.4105555227625,120,1,ДОБРО
42.6250069456926,23.4019501811867,110,2,ДОБРО
42.6371771038159,23.4088529703606,120,1,ДОБРО
42.6346633504696,23.4126831548535,110,1,ДОБРО
42.649862425372,23.379841236137,3000,2,ДОБРО
42.6508681707598,23.3847665503688,3000,3,ДОБРО
42.6296322197461,23.4122374872325,110,2,ДОБРО
42.6317829604048,23.405673074366,110,2,ДОБРО
42.643620115472,23.3844136976524,3000,2,ДОБРО
42.6240342507866,23.4020580508063,120,1,ДОБРО
42.6275253325697,23.4047971659517,120,1,ДОБРО
42.6438594372812,23.3857591424709,3000,1,ДОБРО
42.6341722368758,23.4095075015223,120,1,ДОБРО
42.6371557678436,23.4110892834252,110,2,ДОБРО
42.6284920241056,23.4069038738855,120,2,ДОБРО
42.6256821785411,23.4013489977889,110,1,ДОБРО
42.633602928139,23.4125462151194,110,1,ДОБРО
42.6528163647876,23.3822094798987,3000,1,ДОБРО
42.6526727724027,23.3788219710553,3000,2,ДОБРО
42.6530402662497,23.3735101574204,3000,3,ДОБРО
42.6351033319732,23.4102023775877,110,1,ДОБРО
42.6255798168627,23.3609272152086,120,1,ДОБРО
42.6238565843407,23.406926723667,120,2,ДОБРО
42.6399039611431,23.4039756105883,1100,2,ДОБРО
42.6528012365045,23.3755425341263,3000,2,ДОБРО
42.6333748754008,23.4086991650462,120,1,ДОБРО
42.6258054939495,23.3630329128759,120,1,ДОБРО
42.6533109580674,23.3765912179893,3000,3,ДОБРО
42.6542221571108,23.3734740185663,1100,3,ДОБРО
42.6542932003173,23.3761695407122,3000,3,ДОБРО
42.6344302250245,23.412795023535,120,3,ДОБРО
42.6498983900976,23.3723649580767,1100,2,ДОБРО
42.6311100809728,23.4061170222864,110,1,ДОБРО
42.6378982202556,23.3840740531915,3000,3,ДОБРО
42.6541570070927,23.372373394047,1100,3,ДОБРО
42.6550632316531,23.3903549401149,1100,2,ДОБРО
42.6320570154617,23.412381549014,110,2,ДОБРО
42.6330020485802,23.4107342774457,110,1,ДОБРО
42.6554050752347,23.390734126379,1100,5,ДОБРО
42.6541700692928,23.3913119175328,1100,1,ДОБРО
42.6549507833798,23.3902974607735,1100,2,ДОБРО
42.625760258888,23.3611743279223,120,1,ДОБРО
42.6266644846488,23.4123101292612,110,2,ДОБРО
42.6529124089472,23.3913784795766,1100,1,ДОБРО
42.6261639453837,23.4123602523392,120,1,ДОБРО
42.6273950380714,23.4056155632703,120,2,ДОБРО
42.6296987054719,23.3721307016433,3000,2,ДОБРО
42.6563231157149,23.3886646913663,1100,2,ДОБРО
42.6285499992318,23.4125900350638,120,2,ДОБРО
42.6312295250811,23.375004976349,3000,3,ДОБРО
